niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables
6e,Fille,2,1,2,3,2,0,1,2,['égalité'],"['sport', 'art et culture', 'projets pédagogiques']",[],"['horaires', 'récréations', 'bousculades', 'problèmes']","[""cours d'anglais"", 'moments de partage', 'cours de français']","['cantine', 'récrées', 'passages dans les couloirs']","['permanence', 'CCC']","['cantine', 'couloirs']"
5e,Garçon,2,2,2,2,3,2,1,2,[],['sport'],['récréation'],"['kiosk', 'chocolat']","[""s'amuse""]",['évaluation surprise'],[],[]
5e,Fille,3,2,2,0,1,0,3,1,[],[],[],['sorties'],[],[],['salle'],[]
6e,Fille,2,2,1,3,2,1,2,1,['problèmes'],['projet pédagogiques'],[],"['caméras', 'sécurité']",['amies'],"['triste', 'rejeter']",['CCC'],['salle']
4e,Garçon,2,1,3,1,2,0,1,2,['communication'],['sport'],[],[],['vacances'],[],[],[]
6e,Fille,2,1,1,0,1,0,1,0,['jeunes'],[],[],['téléphone'],['avec mes amis'],"['SVT', 'physique chimie']",['CCC'],"['permanance', 'salle']"
4e,Fille,2,1,3,0,0,0,0,2,['liberté'],[],['non'],['liberté'],['pause méridienne'],['cours'],"['récré', 'allée', 'cantine', 'bancs']",[]
4e,Garçon,2,2,2,0,2,2,1,1,['respect'],[],['bureaux'],['food truck'],[],[],"['sales de détente', 'médiathèque']",[]
4e,Fille,2,2,2,3,2,1,2,3,[],['MUN'],['non'],"['adultes', 'médiathèque', 'cantine', 'horaires']",['copines'],['médiathèque'],[],['médiathèque']
4e,Garçon,2,2,3,0,2,2,3,3,['non'],[],"['classe', 'cour']","['horaires', 'pause']","['amis', 'pause']","['cours', 'relation classe']","['cours', 'cantine', 'couloirs']",['escaliers']
6e,Garçon,3,2,3,0,2,3,0,3,['non'],[],['cour de récréation'],['non'],['rigole'],['punir'],['cour'],[]
6e,Garçon,1,1,2,1,1,1,0,2,['calme'],['art et culture'],['cour'],['cantine'],[],[],['salle'],[]
6e,Fille,2,2,3,2,2,2,2,3,['oui'],['sport'],[],[],[],[],[],[]
6e,Fille,1,1,3,2,1,1,0,2,['respect'],['environnement et solidarité'],['classe'],"['santé', 'tensions', 'stress']",['avec mes amies'],['en classe'],['toilette'],['classe']
4e,Fille,3,2,3,1,2,2,3,2,[],['art et culture'],['non'],['non'],['pauses méridiennes'],[],['couloirs'],[]
6e,Fille,2,2,3,1,1,2,2,2,['écoute'],['art et culture'],[],"['queue', 'vie scolaire', 'organisation']",['heures creuses'],['vie scolaire'],['CCC'],['cours']
5e,Garçon,2,1,3,1,0,1,0,2,[],['sport'],[],[],"['balle en mousse', 'midi et deux', 'EPS']",[],['cour'],['cours']
6e,Garçon,3,2,3,2,3,2,2,3,"['prévisibilité', 'transparence']",['sport'],[],"['cours', 'horaires']","['amis', 'parents', 'foot']",['amis absents'],"['cour', 'maison']",['salle de classe']
6e,Garçon,1,2,2,1,1,2,0,2,['respect'],['projet pédagogiques'],[],"['DS', 'évaluation']","['finir les cours', 'vendredi', 'weekend', 'vacances']",[],['garage'],['étage']
6e,Fille,2,1,2,0,1,2,2,2,['compréhension'],[],['cours'],"['règles', 'compréhension', 'accompagnement']",['compris'],"['accusé à tort', 'colère des professeurs']","['classe', 'permanence', 'CCC']",[]
4e,Fille,3,2,3,2,2,2,2,3,['écoute'],['MUN'],['classe'],"['clims', 'écoute', 'devoirs']","['pauses du midi', 'compagnie des amis']","[""fin de l'après-midi"", 'jours où on finit tard']",['extérieur'],['salle de classe']
5e,Garçon,2,2,2,2,1,2,0,0,"['savoir', 'captivant']","['art et culture', ""vie de l'établissement""]",['cour'],"['city', 'salles', 'chaises', 'couleurs', 'badge', 'carte', 'bancs', 'sacs', 'activités']","['jouer avec amis', ""cours d'arabe""]","['se sentir mal', 'fatigue', 'cours']",['cours'],[]
5e,Garçon,3,2,3,1,1,1,3,2,"['explication', 'confiance']","[""vie de l'établissement""]",[],"['remboursement', 'communication']","['pauses déjeuner', 'jouer au foot']",['cours de SVT'],"['cour', 'cantine']",['salle']
4e,Garçon,2,1,3,0,3,2,1,3,[],[],"['conseils', 'vie de classe']",['horaires'],"['cours détendus', 'récréations', 'vie de classes']","['cours longs', 'heures de permanence']","['cours', 'salle']",[]
4e,Fille,2,1,2,1,1,2,0,2,['non'],['sport'],[],['non'],[],['infirmerie'],[],['infirmerie']
6e,Fille,2,2,1,0,1,2,1,3,[],[],[],"['queue', 'cantine', 'fontaine', 'cour', 'états']","['CCC', 'salle détente', 'avec mes amies']","['queue de la cantine', ""beaucoup d'élèves"", 'couloirs']",['CCC'],['salle']
4e,Fille,2,2,2,1,1,1,1,2,[],[],[],[],[],[],[],[]
4e,Garçon,2,2,2,1,1,1,1,1,[],['art et culture'],[],[],['récréation'],['cours'],['exterieur'],['salles']
6e,Garçon,2,1,3,1,1,1,0,2,['souplesse'],['sport'],[],['permanence'],[],"[""cours d'Histoire-Géo""]",[],[]
6e,Garçon,2,1,2,2,1,1,1,1,[],['projet pédagogiques'],[],"['foot', 'balles']",['bonnes notes'],['mauvaises notes'],"['terrain', 'cour']",['toilettes']
4e,Fille,2,2,2,3,1,0,1,1,[],"['sport', 'art et culture', 'MUN']",[],[],[],[],"['médiathèque', 'tables']",['couloirs']
5e,Fille,1,2,3,2,2,1,1,2,[],"['MUN', 'art et culture', 'sport']",['cour'],[],['récré'],['cours'],"['médiathèque', 'salle', 'extérieur']",['salles']
5e,Fille,2,2,2,1,1,1,1,3,[],['projet pédagogiques'],[],"['climatisation', 'horaires']",[],[],[],[]
4e,Garçon,3,2,2,1,2,2,2,3,"['calme', 'dialogue']",['MUN'],['non'],['horaire'],[],[],"['plateau', 'gymnase']",[]
6e,Fille,2,1,3,1,1,1,2,2,[],['art et culture'],[],['film'],['manger'],['cours'],['portaille'],[]
5e,Fille,3,1,3,2,2,2,3,2,[],[],[],[],[],[],[],[]
5e,Garçon,2,1,1,1,1,1,2,1,"['justice', 'compréhension', 'respect']",['sport'],['bureau'],"['balles', 'foot']","['récré', 'pause', ""cours d'histoire-géo""]",[],['fontaine'],[]
6e,Fille,3,3,3,0,2,2,3,3,[],[],['classe'],[],[],[],['cours'],[]
5e,Garçon,2,1,0,1,1,0,0,2,"['liberté', 'souplesse']",['sport'],['non'],"['cours', 'pause', 'prof', 'classe']",['sport'],['cours'],['recrée'],"['permanence', 'salle de cours']"
6e,Garçon,2,1,2,2,2,1,0,2,['compréhension'],['projet pédagogiques'],[],['heure'],"['échecs', 'calme']",[],['CCC'],[]
4e,Fille,3,2,3,2,2,3,2,2,[],"[""vie de l'établissement""]",[],[],['récréation'],['cours'],['cour'],"['cantine', 'permanence']"
6e,Fille,2,2,1,2,3,2,2,3,['calme'],['MUN'],[],"['organisation', 'évaluation', 'stress', 'horaires', 'sommeil']","['avec mes amies', 'pas de stress']","['évaluations', 'stress']",['cour'],['permanences']
5e,Garçon,2,1,2,1,0,0,0,1,['non'],['sport'],['non'],['nourriture'],"['sport', 'foot']",['cantine'],[],[]
6e,Garçon,2,1,1,1,2,2,1,2,['non'],[],['classe'],['récréation'],['amies'],['cours'],['récréation'],['cours']
5e,Fille,1,3,3,1,2,3,2,3,[],['projet pédagogiques'],[],['non'],['pauses'],[],[],[]
5e,Fille,2,2,3,2,2,2,2,2,[],['sport'],['CPE'],[],[],[],[],[]
4e,Fille,2,3,3,1,2,2,2,3,['communication'],"['MUN', 'projet pédagogiques']",['classe'],['horaire'],"['récréations', 'amies']","['évaluations', 'stressantes']","['salle', 'espace']",[]
4e,Fille,3,1,3,2,2,1,2,2,"['écoute', 'confiance', 'respect']",['sport'],"['CPE', 'prof']",['non'],"['AS', 'profs de sports', 'amis']",['journées à 17h'],['terrains'],[]
4e,Garçon,0,1,2,0,0,0,0,0,[],[],[],['horaires'],"['chez moi', 'famille']",['école'],[],[]
4e,Garçon,2,1,2,2,0,1,2,1,['non'],"['sport', 'projet pédagogiques']",[],['sanctions'],[],[],[],[]
4e,Garçon,1,0,0,2,1,2,0,2,"['freedom', 'respect']",['projet pédagogiques'],['recess'],['système'],['Summer vacation'],['School time'],['house'],['school']
5e,Fille,2,2,1,1,0,1,0,2,[],['art et culture'],[],"['cours', 'évaluations']",['rentrer chez moi'],['travailler'],['cour'],[]
5e,Fille,2,1,1,2,1,1,1,3,[],[],[],[],[],[],[],[]
5e,Fille,2,1,0,2,2,1,1,2,[],['art et culture'],[],"['eau', 'autorisation']",['cantine'],[],['cantine'],[]
5e,Garçon,2,0,2,3,0,1,0,2,[],[],['non'],['liberté'],[],['mauvaise notes'],[],[]
3e,Fille,3,1,3,2,3,2,2,2,[],"['MUN', 'environnement et solidarité', 'art et culture']",['cour'],"['pc', 'pause']",['pauses'],['certains cours'],"['cours', 'salle']",['classes']
5e,Garçon,0,0,3,0,2,2,1,2,[],[],[],"['emplois', 'temps', 'santé', 'mentale']",[],[],[],[]
4e,Garçon,2,2,3,2,1,2,2,3,"['communication', 'patience']","['MUN', 'MUN']","['classe', 'recré']","['communication', 'respect']","['voyage scolaire', 'sorties', 'projet pédagogique']",[],"['classe', 'récré']",[]
6e,Fille,1,2,3,3,1,1,1,1,"['calme', 'dialogue', 'compréhension']","['art et culture', 'environnement et solidarité', ""vie de l'établissement""]",['non'],"['emploi', 'évaluations', 'professeurs']",['début de la 6ème'],"['Cm1', 'Cm2']","['résidence', 'cantine']","['cours', 'récré']"
5e,Garçon,2,2,2,0,1,1,1,2,['non'],[],[],"['cantine', 'couleur']","['amis', 'famille']","['examens', 'stress']",['cour'],['devoirs']
5e,Garçon,2,2,2,0,2,2,0,2,[],[],[],[],[],['évaluations'],[],['salle']
6e,Garçon,2,1,2,0,1,2,1,2,[],['environnement et solidarité'],[],['horaires'],['cour'],['salle de détente'],[],[]
6e,Fille,3,3,3,2,2,2,2,2,[],"['sport', 'sport', ""vie de l'établissement"", 'sport', 'sport']","['cour', 'cours']","['cantine', 'bruit', 'propreté', 'organisation']",['récréation'],['interroger'],['CCC'],['cantine']
4e,Garçon,2,1,2,2,1,1,1,2,[],['projet pédagogiques'],[],['emploi du temps'],[],[],[],[]
4e,Garçon,3,1,2,2,1,1,2,2,"['écoute', 'compréhension', 'non-jugement']",['sport'],['non'],['horaires'],['activités ludiques'],[],['terrains'],['salles']
6e,Garçon,2,1,3,0,3,2,0,3,[],[],"['classe', 'cour', 'cantine']","['téléphone', 'climatisation', 'chauffage']","['amis', 'rigolons']",[],['cour'],['salle']
5e,Fille,2,2,3,2,1,1,0,3,[],[],['conseil de classe'],"['surveillant', 'langues', 'sociabilisation']",[],[],['ccc'],['permanence']
6e,Garçon,3,2,2,1,2,2,2,3,"['calme', 'patience', 'écoute']",['environnement et solidarité'],"['classe', 'amis', 'vie scolaire']","['activités', 'liberté']","['félicité', 'amis']",[],"['récré', 'permanence']",[]
6e,Fille,3,2,2,0,2,2,2,2,['non'],[],['cour'],['casiers'],[],[],[],[]
6e,Fille,2,1,2,0,2,2,1,3,[],[],['classe'],"['voyages', 'activités']",['pauses'],['évaluations'],['permanence'],[]
6e,Garçon,2,2,2,0,2,3,0,2,[],[],['récréation'],"['terrains', 'climatisation']",[],[],['terrain de foot'],['classe']
6e,Garçon,2,0,1,0,1,1,2,0,"['parole', 'conflit']",[],[],['non'],['jouer avec un ballon'],['tout le reste du temps'],"['recreation', 'classe', 'cantine']",['endroit']
5e,Garçon,3,2,2,3,3,2,2,3,[],"['MUN', 'sport']",[],['notes'],['parler avec mes amis'],[],[],[]
5e,Fille,3,3,0,2,3,3,1,3,['non'],['projet pédagogiques'],['cour'],['téléphone'],"['cour de récré', 'compétitions nationales']","['canicule', 'salles non climatisées']",['CCC'],['bureau']
5e,Fille,2,1,2,1,2,0,2,2,['non'],[],[],['cantine'],"['récréation', 'cours de Mme Faten']",[],['cours'],['salle']
5e,Fille,3,2,3,2,2,2,2,3,"['compréhension', 'écoute', 'discussion']",['art et culture'],"['copine', 'm. achraf', 'vie scolaire']","['cantine', 'nourriture']",['cantine'],"['vie scolaire', 'pas appeler']","['cantine', 'cc']",['permanence']
6e,Fille,2,2,2,2,1,2,0,2,"['calme', 'respect', 'écoute']","['environnement et solidarité', 'art et culture', 'MUN']","['cour', 'dehors']",['horaire'],['activités'],['punitions'],['cour'],[]
6e,Garçon,2,1,2,3,1,2,2,2,"['dialogue', 'vie de classe']","['environnement et solidarité', ""vie de l'établissement""]","['cour', 'vie de classe']","['déplacement', 'confort', 'mental']","['heure or cour', 'cc']","['profs en retard', 'cours']","['ccc', 'salle']",[]
6e,Fille,2,2,3,1,2,2,1,2,['honnêteté'],['MUN'],['cour'],[],[],[],[],[]
5e,Fille,3,1,3,0,2,2,1,3,['compréhension'],[],"['classe', 'auditorium']","['choix', 'goûter', 'chaussures', 'téléphone']","['prof absent', 'jeux en classe', 'goûter', 'vacances']","['évaluation surprise', 'prof tord', 'mauvaise classe']","['CCC', 'Permanance', 'cours']",[]
